Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,791.859985,809.869995,782.070007,802.349976,802.349976,4136500
2020-05-22,804.630005,826.380005,793.640015,825.169983,825.169983,2773600
2020-05-26,842.000000,844.000000,742.369995,767.890015,767.890015,6465100
2020-05-27,755.010010,757.000000,685.000000,750.000000,750.000000,6859600
2020-05-28,728.010010,770.400024,727.825012,744.429993,744.429993,3753000
2020-05-29,756.150024,769.390015,738.000000,757.799988,757.799988,3306900
2020-06-01,754.719971,759.250000,739.520020,758.000000,758.000000,1843300
2020-06-02,764.429993,784.299988,744.000000,779.500000,779.500000,2664400
2020-06-03,777.929993,779.080017,758.379028,762.020020,762.020020,1892000
2020-06-04,763.909973,777.219971,726.034973,735.190002,735.190002,2767200
2020-06-05,721.099976,740.859985,702.020020,727.770020,727.770020,2477300
2020-06-08,715.000000,731.150024,708.010010,730.669983,730.669983,1889500
2020-06-09,743.909973,754.799988,733.250000,741.700012,741.700012,1514700
2020-06-10,757.000000,758.500000,732.510010,743.640015,743.640015,1492100
2020-06-11,733.340027,765.520020,724.000000,725.119995,725.119995,2288000
2020-06-12,739.340027,745.000000,713.229980,742.580017,742.580017,2122000
2020-06-15,777.000000,807.390015,769.864990,805.469971,805.469971,4060700
2020-06-16,809.000000,816.780029,787.500000,805.760010,805.760010,2638800
2020-06-17,813.000000,827.494019,810.590027,817.359985,817.359985,1839400
2020-06-18,832.500000,869.700012,830.500000,863.559998,863.559998,3085800
2020-06-19,876.000000,895.559998,866.000000,881.000000,881.000000,4020300
2020-06-22,895.119995,909.869995,892.109985,904.809998,904.809998,2395600
2020-06-23,919.190002,928.000000,907.260010,911.340027,911.340027,2430400
2020-06-24,910.010010,924.000000,868.000000,897.000000,897.000000,3420000
2020-06-25,886.559998,917.599976,873.244995,916.320007,916.320007,2419200
2020-06-26,916.000000,927.044983,894.000000,910.000000,910.000000,2720800
2020-06-29,913.989990,923.000000,876.429993,922.419983,922.419983,2740500
2020-06-30,925.500000,958.760010,922.000000,949.200012,949.200012,2749100
2020-07-01,948.010010,1017.890015,948.010010,1016.640015,1016.640015,3448300
2020-07-02,1034.989990,1059.439941,1022.000000,1029.969971,1029.969971,3459400
2020-07-06,1052.489990,1059.000000,983.648010,986.770020,986.770020,4350700
2020-07-07,985.000000,1040.000000,973.000000,1013.989990,1013.989990,3290900
2020-07-08,1027.260010,1035.302002,1002.544983,1017.299988,1017.299988,2057200
2020-07-09,1025.010010,1052.250000,1012.940002,1040.020020,1040.020020,2865300
2020-07-10,1040.020020,1044.849976,1018.130005,1031.859985,1031.859985,1708400
2020-07-13,1043.000000,1074.975952,935.140015,968.750000,968.750000,3900900
